"sku","attribute_set","websites","description","has_options","name","price","short_description","status","tax_class_id","visibility","weight","qty","is_qty_decimal","is_in_stock","configurable_attributes","simples_skus","simples_attributes_labels","simples_attributes_values","image","small_image","thumbnail","media_gallery"
"DUSG_237N","Wears","base","Boys Crew Neck T-shirt with print on Chest made from 100% Organic Cotton Jersey Fabric & Fit : Soft  | Lightweight | Functional | Fabulous Printing: Water based non toxic inks. Soft and really long lasting.

WASH & CARE , Save the Climate. Wash cool - Line dry. Handwash at 30 C inside out. Wash with similar colors. Do not soak or bleach. Reshape while damp. Iron inside out at a low temperature. Do not iron decoration.",1,"Cool Turtle Boys",450,"Cool Turtle Boys T-shirt with print made from 100% Organic Cotton Jersey",1,0,4,,1,0,1,"color,size","DUSG_237N_4_Aqua-Blue,DUSG_237N_6_Aqua-Blue,DUSG_237N_8_Aqua-Blue,DUSG_237N_10_Aqua-Blue,DUSG_237N_12_Aqua-Blue","size_color","4_Aqua-Blue,
6_Aqua-Blue,
8_Aqua-Blue,
10_Aqua-Blue,
12_Aqua-Blue","dusg-237n-1.jpg","dusg-237n-1.jpg","dusg-237n-1.jpg","/dusg-237n-3.jpg;/dusg-237n-2.jpg;/dusg-237n-1.jpg"
"DUSG_235N","Wears","base","Classic Boys Polo Shirt with  made from 100% Organic Cotton Jersey Pique. Team this Polo Shirt with Chinos & loafers Fabric & Fit : Soft  | Lightweight | Functional | Fabulous  Printing: Water based non toxic inks. Soft and really long lasting.

                                                                  
WASH & CARE , Save the Climate. Wash cool - Line dry. Handwash at 30 C inside out. Wash with similar colors. Do not soak or bleach. Reshape while damp. Iron inside out at a low temperature. Do not iron decoration.",1,"Classic Boys Polo",1500,"Classic Boys polo Stripe T-shirt made from 100% Organic Cotton Pique",1,0,4,,1,0,1,"color,size","DUSG_235N_S_Light-Green,DUSG_235N_M_Light-Green,DUSG_235N_L_Light-Green,DUSG_235N_XL_Light-Green,DUSG_235N_XXL_Light-Green,DUSG_235N_3XL_Light-Green,DUSG_235N_S_Blue,DUSG_235N_M_Blue,DUSG_235N_L_Blue,DUSG_235N_XL_Blue,DUSG_235N_XXL_Blue,DUSG_235N_3XL_Blue","size_color","S_Light-Green,
M_Light-Green,
L_Light-Green,
XL_Light-Green,
XXL_Light-Green,
3XL_Light-Green,
S_Blue,
M_Blue,
L_Blue,
XL_Blue,
XXL_Blue,
3XL_Blue","dusg-235n-1.jpg","dusg-235n-1.jpg","dusg-235n-1.jpg","/dusg-235n-3.jpg;/dusg-235n-2.jpg;/dusg-235n-1.jpg"
